Date,Open,High,Low,Close,Adj Close,Volume
2019-03-07,50.599998,50.950001,50.150002,50.430000,47.995579,8474400
2019-03-08,50.270000,52.349998,49.820000,52.200001,49.680130,8093300
2019-03-11,52.340000,53.799999,52.330002,53.799999,51.202900,11535700
2019-03-12,53.470001,53.790001,52.389999,53.340000,50.912853,8029400
2019-03-13,53.200001,54.560001,52.910000,54.160000,51.695538,9579100
2019-03-14,54.000000,54.099998,52.900002,53.750000,51.304192,8135600
2019-03-15,53.700001,54.290001,53.490002,54.209999,51.743259,12714800
2019-03-18,54.560001,54.599998,53.700001,53.799999,51.351917,12096900
2019-03-19,54.000000,54.049999,52.529999,52.650002,50.254250,8459700
2019-03-20,52.689999,52.880001,51.470001,51.470001,49.127937,13314100
2019-03-21,51.570000,51.720001,49.669998,50.389999,48.097084,15800000
2019-03-22,49.279999,49.290001,47.500000,47.650002,45.481762,22882400
2019-03-25,47.380001,48.830002,47.000000,47.990002,45.806290,13670300
2019-03-26,48.950001,49.250000,47.770000,49.119999,46.884872,11781700
2019-03-27,48.250000,48.250000,46.400002,46.400002,44.288647,19072500
2019-03-28,46.970001,48.720001,46.450001,48.020000,45.834927,21866400
2019-03-29,48.700001,49.369999,48.250000,48.720001,46.503075,10937100
2019-04-01,49.389999,49.720001,48.900002,49.200001,46.961231,7395200
2019-04-02,49.500000,49.810001,48.709999,48.770000,46.550793,10032300
2019-04-03,49.419998,49.750000,47.900002,48.250000,46.054455,18510800
2019-04-04,48.700001,49.200001,47.849998,48.830002,46.608067,11552000
2019-04-05,49.070000,49.650002,48.730000,49.110001,46.875332,7189400
2019-04-08,49.090000,49.340000,48.639999,49.189999,46.951687,6250300
2019-04-09,48.889999,48.889999,47.910000,48.450001,46.245361,8004200
2019-04-10,48.840000,49.080002,48.169998,48.810001,46.588982,8053700
2019-04-11,48.709999,48.970001,47.959999,48.349998,46.149910,8555100
2019-04-12,46.849998,48.349998,46.299999,46.730000,44.603622,17500900
2019-04-15,47.299999,47.770000,46.160000,46.860001,44.727715,12785800
2019-04-16,46.950001,48.200001,46.500000,47.830002,45.653576,13271400
2019-04-17,48.099998,48.669998,46.849998,47.200001,45.052246,20089500
2019-04-18,47.660000,49.200001,47.520000,48.849998,46.627155,16539800
2019-04-22,48.779999,48.779999,48.020000,48.340000,46.140366,6259800
2019-04-23,48.980000,49.349998,48.669998,49.310001,47.066223,7663900
